list-none-none,1,10,1,30,116664,3888
list-none-none,1,100,1,300,151256,504
list-none-none,1,1000,1,3000,3256664,1085
list-none-none,1,10000,1,30000,578005445,19266
list-none-none,1,20000,1,60000,3226705503,53778
list-none-none,2,1,1,6,145893,24315
list-none-none,2,10,1,60,153478,2557
list-none-none,2,100,1,600,283954,473
list-none-none,2,1000,1,6000,13425332,2237
list-none-none,4,1,1,12,230316,19193
list-none-none,4,10,1,120,119247,993
list-none-none,8,1,1,24,248461,10352
list-none-none,8,10,1,240,340160,1417
list-none-none,12,1,1,36,1335044,37084
list-i-none,2,1,1,6,140040,23340
list-i-none,2,2,1,12,139641,11636
list-i-none,2,4,1,24,144819,6034
list-i-none,2,8,1,48,107146,2232
list-i-none,2,16,1,96,1898323,19774
list-i-none,4,1,1,12,222825,18568
list-i-none,4,2,1,24,4637608,193233
list-i-none,4,4,1,48,3372509,70260
list-i-none,4,8,1,96,5454531,56818
list-i-none,4,16,1,192,2365834,12322
list-i-none,8,1,1,24,1573572,65565
list-i-none,8,2,1,48,3269483,68114
list-i-none,12,2,1,72,3443343,47824
list-i-none,12,4,1,144,225490,1565
list-d-none,2,1,1,6,119675,19945
list-d-none,2,2,1,12,3482411,290200
list-d-none,2,4,1,24,138928,5788
list-d-none,2,8,1,48,121585,2533
list-d-none,2,16,1,96,74804,779
list-d-none,4,1,1,12,251132,20927
list-d-none,4,2,1,24,80441,3351
list-d-none,4,4,1,48,108446,2259
list-d-none,4,8,1,96,92608,964
list-d-none,4,16,1,192,340869,1775
list-d-none,4,32,1,384,257336,670
list-d-none,8,1,1,24,198641,8276
list-d-none,8,2,1,48,166679,3472
list-d-none,8,4,1,96,176513,1838
list-d-none,8,8,1,192,3283918,17103
list-d-none,12,1,1,36,292574,8127
list-d-none,12,8,1,288,239948,833
list-d-none,12,16,1,576,292142,507
list-il-none,2,1,1,6,108403,18067
list-il-none,2,2,1,12,66597,5549
list-il-none,2,8,1,48,149279,3109
list-il-none,2,16,1,96,92120,959
list-il-none,2,32,1,192,575269,2996
list-il-none,4,1,1,12,1340891,111740
list-il-none,4,2,1,24,1809330,75388
list-il-none,4,8,1,96,114541,1193
list-il-none,12,1,1,36,228356,6343
list-il-none,12,4,1,144,238183,1654
list-dl-none,2,1,1,6,90222,15037
list-dl-none,2,2,1,12,98768,8230
list-dl-none,2,4,1,24,82345,3431
list-dl-none,2,8,1,48,117338,2444
list-dl-none,2,16,1,96,130197,1356
list-dl-none,2,32,1,192,120164,625
list-dl-none,4,1,1,12,86482,7206
list-dl-none,4,2,1,24,201566,8398
list-dl-none,4,4,1,48,164612,3429
list-dl-none,4,16,1,192,1238322,6449
list-dl-none,4,32,1,384,902040,2349
list-dl-none,8,1,1,24,2627870,109494
list-dl-none,8,2,1,48,188823,3933
list-dl-none,8,4,1,96,551948,5749
list-dl-none,8,32,1,768,1058674,1378
list-dl-none,12,1,1,36,224816,6244
list-dl-none,12,2,1,72,238853,3317
list-dl-none,12,16,1,576,432464,750
list-i-m,12,32,1,1152,522687,453
list-d-m,12,32,1,1152,574452,498
list-il-m,12,32,1,1152,877635,761
list-dl-m,12,32,1,1152,805544,699
list-i-s,12,32,1,1152,27868778,24191
list-d-s,12,32,1,1152,26053270,22615
list-il-s,12,32,1,1152,30452775,26434
list-dl-s,12,32,1,1152,5666940,4919
list-none-m,1,1000,1,3000,4044530,1348
list-none-m,2,1000,1,6000,7754786,1292
list-none-m,4,1000,1,12000,14422043,1201
list-none-m,8,1000,1,24000,28430403,1184
list-none-m,12,1000,1,36000,45306807,1258
list-none-m,16,1000,1,48000,60497722,1260
list-none-m,24,1000,1,72000,91506484,1270
list-none-s,1,1000,1,3000,3846618,1282
list-none-s,2,1000,1,6000,7531678,1255
list-none-s,4,1000,1,12000,15528275,1294
list-none-s,8,1000,1,24000,28424228,1184
list-none-s,12,1000,1,36000,87290847,2424
list-none-s,16,1000,1,48000,109419322,2279
list-none-s,24,1000,1,72000,256801212,3566
